z,xmin,xmax,ymin,ymax,half_centerline,half_surface,filament,path,square_path_expected
13.35,49.433,76.567,41.933,69.067,13.566999999999997,13.816999999999997,10.364620000000002,170.12340528153453,108.53599999999997
13.45,49.517,76.483,42.017,68.983,13.483,13.733,10.82338,177.63905125397747,107.864
13.55,49.601,76.399,42.101,68.899,13.399000000000001,13.649000000000001,10.87905,178.5612323631761,107.19200000000001
13.65,49.684,76.316,42.184,68.816,13.316000000000003,13.566000000000003,10.71727,175.8983295521884,106.52800000000002
13.75,49.768,76.232,42.268,68.732,13.232,13.482,10.201060000000002,167.437838414127,105.856
13.85,49.851,76.149,42.351,68.649,13.149000000000001,13.399000000000001,6.40451,105.117,105.19200000000001
13.95,49.935,76.065,42.435,68.565,13.064999999999998,13.314999999999998,7.40946,121.61188250113487,104.51999999999998
14.05,50.019,75.981,42.519,68.481,12.980999999999998,13.230999999999998,7.50802,123.22257848344515,103.84799999999998
14.15,50.102,75.898,42.602,68.398,12.898,13.148,7.5073300000000005,123.22137100117124,103.184
14.25,50.186,75.814,42.686,68.314,12.813999999999997,13.063999999999997,7.426689999999999,121.89060626051193,102.51199999999997
14.35,50.27,75.73,42.77,68.23,12.73,12.98,7.246440000000001,118.93524191999083,101.84
14.45,50.353,75.647,42.853,68.147,12.647000000000002,12.897000000000002,6.15987,101.101,101.17600000000002
14.55,50.437,75.563,42.937,68.063,12.563000000000002,12.813000000000002,9.616320000000002,157.84076488081894,100.50400000000002
14.65,50.521,75.479,43.021,67.979,12.479,12.729,10.02384,164.51354370156042,99.832
14.75,50.6,75.4,43.1,67.9,12.400000000000002,12.650000000000002,10.12429,166.1760397692079,99.20000000000002
14.85,50.676,75.324,43.176,67.824,12.323999999999998,12.573999999999998,9.96747,163.59518194462828,98.59199999999998
14.95,50.753,75.247,43.253,67.747,12.247,12.497,9.45988,155.2761753170637,97.976
15.05,50.83,75.17,43.33,67.67,12.170000000000002,12.420000000000002,5.92757,97.28500000000001,97.36000000000001
15.15,50.907,75.093,43.407,67.593,12.093000000000004,12.343000000000004,7.63304,125.28121211741154,96.74400000000003
15.25,50.983,75.017,43.483,67.517,12.017,12.267,7.852219999999999,128.878587872161,96.136
15.35,51.06,74.94,43.56,67.44,11.939999999999998,12.189999999999998,7.88184,129.36809289725574,95.51999999999998
15.45,51.137,74.863,43.637,67.363,11.863,12.113,7.753589999999999,127.25384337153824,94.904
15.55,51.214,74.786,43.714,67.286,11.786000000000001,12.036000000000001,7.4836100000000005,122.82835742818853,94.28800000000001
15.65,51.29,74.71,43.79,67.21,11.709999999999997,11.959999999999997,7.5899100000000015,124.57336760628937,93.67999999999998
15.75,51.367,74.633,43.867,67.133,11.633,11.883,8.486829999999998,139.27616644161225,93.064
15.85,51.444,74.556,43.944,67.056,11.555999999999997,11.805999999999997,8.694489999999998,142.70097852007873,92.44799999999998
15.95,51.521,74.479,44.021,66.979,11.479,11.729,8.632430000000001,141.6825459353904,91.832
16.05,51.597,74.403,44.097,66.903,11.403000000000002,11.653000000000002,8.38298,137.58644187918418,91.22400000000002
16.15,51.67,74.33,44.17,66.83,11.329999999999998,11.579999999999998,7.819369999999999,128.33449936419714,90.63999999999999
16.25,51.742,74.258,44.242,66.758,11.258,11.508,7.528460000000003,123.5601130255416,90.064
16.35,51.814,74.186,44.314,66.686,11.186000000000003,11.436000000000003,7.9290199999999995,130.11975879332266,89.48800000000003
16.45,51.886,74.114,44.386,66.614,11.114,11.364,8.065549999999998,132.37575352046366,88.912
16.55,51.958,74.042,44.458,66.542,11.042000000000002,11.292000000000002,8.015,131.55010809462522,88.33600000000001
16.65,52.029,73.971,44.529,66.471,10.971,11.221,7.7647900000000005,127.44265868131355,87.768
16.75,52.101,73.899,44.601,66.399,10.899000000000001,11.149000000000001,7.896520000000001,123.86900107114487,87.19200000000001
16.85,52.171,73.829,44.671,66.329,10.828999999999997,11.078999999999997,8.008930000000001,127.62988146482124,86.63199999999998
16.95,52.24,73.76,44.74,66.26,10.760000000000002,11.010000000000002,7.9116800000000005,129.8270368474047,86.08000000000001
17.05,52.308,73.692,44.808,66.192,10.691999999999997,10.941999999999997,8.07978,132.61160333430576,85.53599999999997
17.15,52.377,73.623,44.877,66.123,10.623000000000001,10.873000000000001,8.011590000000002,131.49826025126953,84.98400000000001
17.25,52.446,73.554,44.946,66.054,10.554000000000002,10.804000000000002,7.7485,127.1672900579728,84.43200000000002
17.35,52.514,73.486,45.014,65.986,10.486,10.736,7.17144,117.70133548482795,83.888
17.45,52.583,73.417,45.083,65.917,10.417000000000002,10.667000000000002,6.016370000000001,98.74531298112144,83.33600000000001
17.55,52.65,73.35,45.15,65.85,10.349999999999998,10.599999999999998,6.18428,101.49304954704974,82.79999999999998
17.65,52.716,73.284,45.216,65.784,10.284000000000002,10.534000000000002,6.22729,102.20478910462991,82.27200000000002
17.75,52.782,73.218,45.282,65.718,10.218000000000004,10.468000000000004,6.187150000000001,101.54756838044915,81.74400000000003
17.85,52.847,73.153,45.347,65.653,10.153000000000002,10.403000000000002,6.06112,99.48023134602953,81.22400000000002
17.95,52.913,73.087,45.413,65.587,10.087000000000003,10.337000000000003,8.352010000000002,132.85597028383148,80.69600000000003
18.05,52.979,73.021,45.479,65.521,10.021,10.271,8.521930000000003,132.93852681286265,80.168
18.15,53.044,72.956,45.544,65.456,9.956000000000003,10.206000000000003,8.8048,136.5480712140902,79.64800000000002
18.25,53.109,72.891,45.609,65.391,9.891000000000002,10.141000000000002,8.233550000000001,134.33703675621084,79.12800000000001
18.35,53.172,72.828,45.672,65.328,9.828000000000003,10.078000000000003,8.020990000000001,130.81642439496682,78.62400000000002
18.45,53.235,72.765,45.735,65.265,9.765,10.015,7.584470000000001,123.33411545484178,78.12
18.55,53.297,72.703,45.797,65.203,9.703000000000003,9.953000000000003,4.72481,77.54900000000002,77.62400000000002
18.65,53.36,72.64,45.86,65.14,9.64,9.89,4.69425,77.045,77.12
18.75,53.423,72.577,45.923,65.077,9.576999999999998,9.826999999999998,4.6637,76.54099999999998,76.61599999999999
18.85,53.486,72.514,45.986,65.014,9.514,9.764,4.633140000000001,76.03699999999999,76.112
18.95,53.548,72.452,46.048,64.952,9.451999999999998,9.701999999999998,4.60258,75.54099999999998,75.61599999999999
19.05,53.609,72.391,46.109,64.891,9.391000000000002,9.641000000000002,4.573129999999999,75.05300000000001,75.12800000000001
19.15,53.668,72.332,46.168,64.832,9.331999999999997,9.581999999999997,4.543990000000001,74.58099999999999,74.65599999999998
19.25,53.728,72.272,46.228,64.772,9.272000000000002,9.522000000000002,4.514829999999996,74.10100000000001,74.17600000000002
19.35,53.788,72.212,46.288,64.712,9.212000000000003,9.462000000000003,5.53201,90.79870951375845,73.69600000000003
19.45,53.848,72.152,46.348,64.652,9.152000000000001,9.402000000000001,5.6415999999999995,92.59219978043214,73.21600000000001
19.55,53.908,72.092,46.408,64.592,9.091999999999999,9.341999999999999,5.65256,92.77337771080622,72.73599999999999
19.65,53.967,72.033,46.467,64.533,9.033000000000001,9.283000000000001,5.583309999999999,91.64019978043214,72.26400000000001
19.75,54.026,71.974,46.526,64.474,8.974,9.224,5.4152700000000005,88.88619391532943,71.792
19.85,54.083,71.917,46.583,64.417,8.917000000000002,9.167000000000002,4.34171,71.26100000000001,71.33600000000001
19.95,54.14,71.86,46.64,64.36,8.86,9.11,5.35967,87.97215070631819,70.88
20.05,54.197,71.803,46.697,64.303,8.802999999999997,9.052999999999997,5.473199999999999,89.83214511380649,70.42399999999998
20.15,54.254,71.746,46.754,64.246,8.745999999999999,8.995999999999999,5.49291,90.15933989256402,69.96799999999999
20.25,54.311,71.689,46.811,64.189,8.688999999999997,8.938999999999997,5.43732,89.24202488674206,69.51199999999997
20.35,54.368,71.632,46.868,64.132,8.632000000000001,8.882000000000001,5.24941,86.16123555414342,69.05600000000001
20.45,54.425,71.575,46.925,64.075,8.575000000000003,8.825000000000003,4.23244,69.06876557448962,68.60000000000002
20.55,54.48,71.52,46.98,64.02,8.52,8.77,5.02758,82.5205923776623,68.16
20.65,54.535,71.465,47.035,63.965,8.465000000000003,8.715000000000003,5.11869,84.00931411125438,67.72000000000003
20.75,54.589,71.411,47.089,63.911,8.411000000000001,8.661000000000001,5.13168,84.22490975002964,67.28800000000001
20.85,54.643,71.357,47.143,63.857,8.357,8.607,5.05783,83.0116083313187,66.856
20.95,54.697,71.303,47.197,63.803,8.302999999999997,8.552999999999997,4.92249,80.795402687238,66.42399999999998
21.05,54.751,71.249,47.251,63.749,8.249,8.499,4.016050000000001,65.91700000000002,65.992
21.15,54.806,71.194,47.306,63.694,8.194000000000003,8.444000000000003,3.9896199999999986,65.47700000000002,65.55200000000002
21.25,54.86,71.14,47.36,63.64,8.14,8.39,3.9632000000000005,65.045,65.12
21.35,54.911,71.089,47.411,63.589,8.088999999999999,8.338999999999999,3.9380699999999997,64.63699999999999,64.71199999999999
21.45,54.963,71.037,47.463,63.537,8.037,8.287,3.912950000000002,64.221,64.296
21.55,55.015,70.985,47.515,63.485,7.984999999999999,8.235,3.8878299999999975,63.80499999999999,63.879999999999995
21.65,55.066,70.934,47.566,63.434,7.9339999999999975,8.183999999999997,3.8627100000000034,63.39699999999998,63.47199999999998
21.75,55.118,70.882,47.618,63.382,7.882,8.132,3.8375899999999987,62.980999999999995,63.056
21.85,55.169,70.831,47.669,63.331,7.831000000000003,8.081000000000003,3.8124600000000015,62.57300000000002,62.648000000000025
21.95,55.221,70.779,47.721,63.279,7.779000000000002,8.029000000000002,3.7873499999999964,62.15700000000001,62.23200000000001
22.05,55.272,70.728,47.772,63.228,7.728,7.978,3.762520000000002,61.74900000000001,61.824
22.15,55.321,70.679,47.821,63.179,7.679000000000002,7.929000000000002,3.7386899999999983,61.35700000000001,61.432000000000016
22.25,55.369,70.631,47.869,63.131,7.631,7.881,3.7148499999999984,60.973,61.048
22.35,55.418,70.582,47.918,63.082,7.581999999999999,7.831999999999999,3.6910099999999986,60.581,60.65599999999999
22.45,55.467,70.533,47.967,63.033,7.533000000000001,7.783000000000001,3.667170000000006,60.18900000000001,60.26400000000001
22.55,55.516,70.484,48.016,62.984,7.484,7.734,3.643339999999995,59.79700000000001,59.872
22.65,55.565,70.435,48.065,62.935,7.435000000000002,7.685000000000002,3.619489999999999,59.405000000000015,59.48000000000002
22.75,55.614,70.386,48.114,62.886,7.386000000000001,7.636000000000001,3.5956600000000094,59.01300000000002,59.08800000000001
22.85,55.662,70.338,48.162,62.838,7.337999999999999,7.587999999999999,3.5722999999999985,58.629000000000005,58.70399999999999
22.95,55.708,70.292,48.208,62.792,7.292000000000002,7.542000000000002,3.5497199999999935,58.26100000000001,58.33600000000001
23.05,55.755,70.245,48.255,62.745,7.244999999999999,7.494999999999999,3.527140000000003,57.88499999999999,57.959999999999994
23.15,55.801,70.199,48.301,62.699,7.198999999999998,7.448999999999998,3.504559999999998,57.51699999999998,57.591999999999985
23.25,55.847,70.153,48.347,62.653,7.1530000000000005,7.4030000000000005,3.481980000000007,57.149,57.224000000000004
23.35,55.894,70.106,48.394,62.606,7.106,7.356,3.459389999999999,56.77300000000001,56.848
23.45,55.94,70.06,48.44,62.56,7.060000000000002,7.310000000000002,3.4368199999999973,56.405000000000015,56.48000000000002
23.55,55.986,70.014,48.486,62.514,7.014000000000001,7.264000000000001,3.4142300000000034,56.037000000000006,56.11200000000001
23.65,56.031,69.969,48.531,62.469,6.968999999999999,7.218999999999999,3.3922099999999915,55.67700000000001,55.751999999999995
23.75,56.075,69.925,48.575,62.425,6.924999999999997,7.174999999999997,3.3708600000000075,55.324999999999974,55.39999999999998
23.85,56.119,69.881,48.619,62.381,6.881,7.131,3.349509999999995,54.973,55.048
23.95,56.163,69.837,48.663,62.337,6.837000000000003,7.087000000000003,3.32817,54.62100000000002,54.696000000000026
